"ITL3.Region","average_pre_2009","average_post_2009"
"Tower Hamlets",0.00644468313641246,0.00905906510448122
"Tyneside",0.00148653375306051,0.0156286177355869
"Wakefield",0.0118152524167562,0.00592075299833004
"Walsall",0.00764119601328904,0.00937744204219849
"Wandsworth",0.0189086980010805,0.00342130987292278
"Warrington",0.00967022067939499,0.010554988083078
"Warwickshire",0.00362916529198284,0.00411337970234089
"West Cumbria",0.00117474302496329,0.00671431665583712
"West Essex",0.00770833333333333,0.00333240766453763
"West Kent",-0.000161498708010336,0.00615655233069481
"West Lothian",0.00420168067226891,-0.00447479981158738
"West Northamptonshire",0.00973393900064893,0.00918593601520431
"West Surrey",0.00248400919083401,-0.000451356119978663
"West Sussex (North East)",0.00203389830508475,0.00277591653106155
"West Sussex (South West)",-0.000519210799584631,0.00642748626855206
"Westminster",0.0126053554113523,0.0038390630083505
"Wiltshire",0.00982919755075733,0.00787980668207607
"Wirral",0.0147686248769281,0.0131304710295957
"Wolverhampton",0.0156643356643357,0.0148827726809378
"Worcestershire",0.00531156885606944,0.00695573622402891
"York",0.00563296768455381,0.00525803310613437
